rank,url
1,yahoo.com
2,yahoo.co.jp
3,naver.com
4,news.yahoo.co.jp
5,msn.com
6,qq.com
7,nytimes.com
8,douyin.com
9,bbc.co.uk
10,news.google.com
11,cnn.com
12,globo.com
13,finance.yahoo.com
14,bbc.com
15,163.com
16,uol.com.br
17,dailymail.co.uk
18,foxnews.com
19,theguardian.com
20,t-online.de
21,news.naver.com
22,wp.pl
23,news.yahoo.com
24,onet.pl
25,sohu.com
26,firefoxchina.cn
27,bild.de
28,news.mail.ru
29,washingtonpost.com
30,vnexpress.net
31,sina.com.cn
32,interia.pl
33,fmkorea.com
34,ukr.net
35,rambler.ru
36,infobae.com
37,libero.it
38,wsj.com
39,cctv.com
40,forbes.com
41,usatoday.com
42,cnbc.com
43,indiatimes.com
44,substack.com
45,o2.pl
46,novinky.cz
47,nypost.com
48,nikkei.com
49,vg.no
50,goo.ne.jp
51,apnews.com
52,ifeng.com
53,edition.cnn.com
54,livedoor.jp
55,ria.ru
56,n-tv.de
57,ynet.co.il
58,nbcnews.com
59,spiegel.de
60,repubblica.it
61,rbc.ru
62,drudgereport.com
63,people.com
64,corriere.it
65,lenta.ru
66,reuters.com
67,tagesschau.de
68,huffpost.com
69,cbc.ca
70,lemonde.fr
71,nu.nl
72,elpais.com
73,lefigaro.fr
74,iltalehti.fi
75,abcnews.go.com
76,bloomberg.com
77,abc.net.au
78,terra.com.br
79,udn.com
80,aftonbladet.se
81,gazeta.pl
82,usnews.com
83,cbsnews.com
84,yle.fi
85,rt.com
86,mynet.com
87,news.com.au
88,politico.com
89,focus.de
90,detik.com
91,independent.co.uk
92,360kuai.com
93,dantri.com.vn
94,google.gr
95,24h.com.vn
96,rediff.com
97,idnes.cz
98,elmundo.es
99,hln.be
100,chosun.com
101,breitbart.com
102,asahi.com
103,news.ifeng.com
104,lanacion.com.ar
105,telegraph.co.uk
106,newsweek.com
107,buzzfeed.com
108,virgilio.it
109,telegraaf.nl
110,welt.de
111,thehill.com
112,kp.ru
113,news.rambler.ru
114,index.hu
115,businessinsider.com
116,ad.nl
117,francetvinfo.fr
118,donga.com
119,thepaper.cn
120,news.sky.com
121,ouest-france.fr
122,walla.co.il
123,ekstrabladet.dk
124,biglobe.ne.jp
125,bsky.app
126,sozcu.com.tr
127,sponichi.co.jp
128,yomiuri.co.jp
129,abv.bg
130,daily.co.jp
131,clarin.com
132,nhk.jp
133,ndtv.com
134,aljazeera.com
135,index.hr
136,sapo.pt
137,ansa.it
138,prothomalo.com
139,hurriyet.com.tr
140,tvp.pl
141,dagbladet.no
142,20min.ch
143,zerohedge.com
144,newsmax.com
145,noticias.uol.com.br
146,centrum.cz
147,telex.hu
148,toutiao.com
149,gazeta.ru
150,ocn.jp
151,ocn.ne.jp
152,20minutes.fr
153,protothema.gr
154,ilfattoquotidiano.it
155,kenh14.vn
156,livedoor.com
157,msnbc.com
158,ettoday.net
159,thomsonreuters.com
160,milliyet.com.tr
161,haberler.com
162,hindustantimes.com
163,tuoitre.vn
164,thegatewaypundit.com
165,zeit.de
166,thesun.co.uk
167,folha.uol.com.br
168,mako.co.il
169,tianyancha.com
170,eenadu.net
171,the-ans.jp
172,hs.fi
173,baomoi.com
174,theqoo.net
175,360doc.com
176,expressen.se
177,latimes.com
178,news.sina.com.cn
179,blick.ch
180,vietnamnet.vn
181,startlap.hu
182,sportmail.ru
183,elespanol.com
184,stuff.co.nz
185,pixnet.net
186,rawstory.com
187,kurir.rs
188,mirror.co.uk
189,ctvnews.ca
190,news.livedoor.com
191,newsnow.co.uk
192,theatlantic.com
193,kompas.com
194,prtimes.jp
195,guancha.cn
196,express.co.uk
197,lapresse.ca
198,aajtak.in
199,chinatimes.com
200,variety.com
201,cnnbrasil.com.br
202,bolshoyvopros.ru
203,brunch.co.kr
204,pravda.com.ua
205,ltn.com.tw
206,chiphell.com
207,lavanguardia.com
208,thedailybeast.com
209,theverge.com
210,theepochtimes.com
211,delfi.ee
212,mk.ru
213,mbc.net
214,news.nate.com
215,hankyung.com
216,bt.dk
217,axios.com
218,liveuamap.com
219,china.com
220,sina.cn
221,thanhnien.vn
222,leparisien.fr
223,abc.es
224,24.hu
225,faz.net
226,economist.com
227,smh.com.au
228,origo.hu
229,tiscali.it
230,fakt.pl
231,onliner.by
232,realclearpolitics.com
233,timesofisrael.com
234,aif.ru
235,emol.com
236,elconfidencial.com
237,dw.com
238,20minutos.es
239,mainichi.jp
240,znews.vn
241,blic.rs
242,nzherald.co.nz
243,news.infoseek.co.jp
244,aljazeera.net
245,hk01.com
246,news.cube-soft.jp
247,yna.co.kr
248,encount.press
249,444.hu
250,bunshun.jp
251,rg.ru
252,nieuwsblad.be
253,jutarnji.hr
254,ensonhaber.com
255,patch.com
256,kommersant.ru
257,sanook.com
258,krone.at
259,indianexpress.com
260,record.pt
261,people.com.cn
262,ambito.com
263,reg.163.com
264,vz.ru
265,sueddeutsche.de
266,eltiempo.com
267,lady.mail.ru
268,newyorker.com
269,mk.co.kr
270,forocoches.com
271,jxcn.cn
272,delfi.lt
273,today.com
274,ksl.com
275,jpost.com
276,news.jxcn.cn
277,deepstatemap.live
278,thehindu.com
279,eldiario.es
280,moudamepo.com
281,okdiario.com
282,sankei.com
283,e24.no
284,tass.ru
285,livemint.com
286,bitchute.com
287,centurylink.net
288,aktualne.cz
289,dagospia.com
290,haber7.com
291,rusvesna.su
292,activehosted.com
293,time.com
294,haberturk.com
295,nettavisen.no
296,manoramaonline.com
297,news.goo.ne.jp
298,meduza.io
299,nymag.com
300,jandan.net
