rank,library,star
312,big.js,4817
313,exif-js,4812
314,pegjs,4807
315,globalize,4797
316,jsondiffpatch,4782
317,analytics.js,4770
318,gif.js,4768
319,pubsub-js,4765
320,wretch,4758
321,squire-rte,4753
322,move.js,4720
323,cannon.js,4678
324,topojson,4660
325,hellojs,4633
326,elfinder,4630
327,jointjs,4618
328,vibrant.js,4612
329,sugar,4533
330,mixitup,4519
331,sir-trevor-js,4511
332,prop-types,4476
333,emojione,4458
334,blueimp-load-image,4449
335,SoundJS,4431
336,opentype.js,4430
337,json-editor,4421
338,stroll.js,4356
339,flexibility,4327
340,css-element-queries,4270
341,alertify.js,4258
342,epiceditor,4246
343,reconnecting-websocket,4214
344,hopscotch,4193
345,amplitudejs,4177
346,recorderjs,4162
347,headjs,4160
348,packery,4127
349,yui,4121
350,sketch.js,4090
351,openlocationcode,4057
352,body-scroll-lock,4041
353,react-ace,4037
354,messenger,4027
355,kineticjs,3980
356,stacktrace.js,3974
357,pulltorefreshjs,3972
358,ScrollTrigger,3954
359,leaflet.markercluster,3938
360,device.js,3937
361,AniJS,3911
362,fuzzysort,3905
363,webcomponentsjs,3874
364,draggabilly,3856
365,vanilla-tilt,3850
366,imager.js,3840
367,prefixfree,3827
368,moment-timezone,3820
369,jquery-timeago,3817
370,docute,3804
371,overlayscrollbars,3800
372,datamaps,3780
373,tabletop.js,3775
374,sanitize-html,3769
375,blueimp-gallery,3747
376,polyglot.js,3698
377,basicscroll,3630
378,enquire.js,3626
379,rsvp,3615
380,webrtc-adapter,3614
381,voca,3606
382,tweenjs,3556
383,camanjs,3552
384,incremental-dom,3536
385,prototype,3535
386,outdated-browser,3531
387,micromodal,3529
388,instafeed.js,3504
389,node-waves,3476
390,when,3436
391,redom,3419
392,simple-statistics,3384
393,underscore.string,3369
394,basket.js,3361
395,wysihtml,3358
396,smooth-scrollbar,3311
397,scrollmonitor,3297
398,xregexp,3293
399,background-check,3268
400,jsrsasign,3249
401,rivets,3224
402,keypress,3185
403,dygraph,3169
404,feature.js,3168
405,EventEmitter,3124
406,xdomain,3120
407,swig,3107
408,processing.js,3091
409,bootstrap-calendar,3023
410,sammy.js,2987
411,eventproxy,2965
412,plottable.js,2963
413,script.js,2947
414,reqwest,2937
415,dustjs-linkedin,2912
416,rome,2912
417,gss-engine,2867
418,mootools,2646
419,yepnope,2514
420,labjs,2278
421,spf,2227
422,pusher,2098
423,ifvisible,1954
424,mapbox.js,1918
425,ink,1897
426,visibility.js,1824
427,jquery-tools,1797
428,dojo,1556
429,jit,1513
430,amplifyjs,1447
431,chartist,70
432,next,0
433,vue2,0
434,boomerangjs,0
435,svelte,0
436,google_maps,0
437,extjs,0
438,gifshot,0
439,emberjs,0
