rank,library,avg. date
220,simplebar,2017-11-24
221,date-fns,2017-11-16
222,qrcodejs,2017-10-17
223,raphael,2017-10-16
224,aos,2017-10-12
225,awesomplete,2017-10-09
226,css-element-queries,2017-09-20
227,admin-lte,2017-09-17
228,jquery-timeago,2017-08-28
229,bitcoinjs-lib,2017-08-23
230,animejs,2017-08-16
231,webcomponentsjs,2017-08-11
232,clmtrackr,2017-07-31
233,medium-editor,2017-07-22
234,alasql,2017-07-18
235,bluebird,2017-07-07
236,exif-js,2017-07-06
237,vis,2017-07-03
238,chartist,2017-07-02
239,instafeed.js,2017-06-26
240,react,2017-06-17
241,flickity,2017-06-16
242,dom-to-image,2017-06-10
243,blueimp-load-image,2017-06-10
244,file-uploader,2017-06-07
245,trianglify,2017-06-04
246,flatpickr,2017-05-28
247,vue,2017-05-27
248,jointjs,2017-05-21
249,mo-js,2017-05-19
250,openlocationcode,2017-05-16
251,uuid,2017-05-13
252,big.js,2017-05-03
253,annyang,2017-05-02
254,showdown,2017-04-29
255,redux-logger,2017-04-12
256,async,2017-04-06
257,tether,2017-04-02
258,noUiSlider,2017-03-23
259,voca,2017-03-12
260,quagga,2017-03-08
261,underscore.js,2017-03-05
262,notie,2017-03-01
263,d3,2017-02-24
264,jquery.isotope,2017-02-18
265,require.js,2017-02-17
266,falcor,2017-02-07
267,highmaps,2017-01-23
268,quill,2017-01-22
269,modernizr,2017-01-17
270,js-xss,2017-01-15
271,jshint,2016-12-09
272,tweenjs,2016-11-29
273,js-yaml,2016-11-23
274,SoundJS,2016-11-21
275,jquery.imagesloaded,2016-11-17
276,sugar,2016-11-05
277,autotrack,2016-11-01
278,masonry,2016-10-26
279,soundmanager2,2016-10-16
280,dat-gui,2016-10-14
281,UpUp,2016-10-09
282,velocity,2016-09-28
283,decimal.js,2016-09-23
284,squire-rte,2016-09-19
285,jsbarcode,2016-09-02
286,vivus,2016-09-02
287,barba.js,2016-08-22
288,es6-promise,2016-08-07
289,packery,2016-07-25
290,acorn,2016-07-25
291,immutable,2016-07-12
292,avalon.js,2016-07-12
293,draggabilly,2016-07-06
294,onsen,2016-06-29
295,prism,2016-06-26
296,ractive.js,2016-06-25
297,simple-statistics,2016-06-19
298,dygraph,2016-06-19
299,tabletop.js,2016-06-12
300,push.js,2016-05-27
301,prefixfree,2016-04-25
302,flexibility,2016-04-21
303,sweetalert,2016-04-01
304,semantic-ui,2016-03-31
305,numeral.js,2016-03-31
306,reflux,2016-03-31
307,card,2016-03-18
308,material-design-lite,2016-03-11
309,handsontable,2016-03-09
310,flexslider,2016-02-08
311,dynamics.js,2016-01-18
312,blueimp-gallery,2016-01-08
313,smooth-scroll,2016-01-04
314,is_js,2016-01-03
315,outdated-browser,2015-12-08
316,move.js,2015-11-30
317,hammer.js,2015-11-27
318,zepto,2015-11-21
319,nunjucks,2015-11-06
320,lodash.js,2015-10-24
321,mui,2015-10-18
322,crossfilter,2015-10-15
323,picturefill,2015-09-30
324,dot,2015-09-28
325,epub.js,2015-09-22
326,hopscotch,2015-08-19
327,noty,2015-08-15
328,mailcheck,2015-07-29
329,bootbox.js,2015-07-25
330,snap.svg,2015-07-19
331,labjs,2015-07-19
332,ifvisible,2015-07-06
333,rickshaw,2015-07-03
334,Ladda,2015-06-25
335,spf,2015-06-15
336,node-waves,2015-06-11
337,pegjs,2015-06-04
338,dustjs-linkedin,2015-06-02
339,vibrant.js,2015-05-26
340,EaselJS,2015-05-18
341,datamaps,2015-05-17
342,danialfarid-angular-file-upload,2015-05-14
343,visibility.js,2015-05-10
344,holder,2015-04-30
345,plottable.js,2015-04-30
346,underscore.string,2015-04-27
347,esprima,2015-04-25
348,keypress,2015-04-16
349,heatmap.js,2015-04-04
350,chai,2015-03-21
351,toastr.js,2015-03-13
352,froala-editor,2015-03-03
353,jquery_lazyload,2015-03-03
354,reconnecting-websocket,2015-02-26
355,particles.js,2015-02-12
356,bcryptjs,2015-02-07
357,cannon.js,2015-01-30
358,script.js,2015-01-28
359,gss-engine,2015-01-27
360,fastclick,2015-01-25
361,store.js,2015-01-18
362,vex-js,2015-01-17
363,javascript-state-machine,2015-01-09
364,dc,2015-01-04
365,wysihtml,2014-12-31
366,URI.js,2014-12-19
367,html5shiv,2014-12-18
368,keymaster,2014-12-17
369,colors,2014-12-16
370,rivets,2014-12-01
371,xdomain,2014-11-26
372,rome,2014-11-11
373,topojson,2014-11-09
374,progressbar.js,2014-10-20
375,enquire.js,2014-10-19
376,iScroll,2014-10-13
377,polyglot.js,2014-10-13
378,pubsub-js,2014-09-27
379,emojione,2014-09-24
380,angular-loader,2014-09-23
381,AniJS,2014-09-14
382,ink,2014-08-28
383,seajs,2014-08-20
384,when,2014-08-12
385,swig,2014-08-04
386,skrollr,2014-08-01
387,zeroclipboard,2014-07-23
388,offline-js,2014-07-20
389,tinycolor,2014-07-06
390,analytics.js,2014-07-04
391,eventproxy,2014-06-28
392,hogan.js,2014-06-16
393,basket.js,2014-05-31
394,instantclick,2014-05-26
395,localforage,2014-04-24
396,bootstrap-calendar,2014-04-20
397,mootools,2014-04-14
398,tinycon,2014-04-11
399,reqwest,2014-04-01
400,kineticjs,2014-04-01
401,EventEmitter,2014-03-27
402,flot,2014-03-18
403,imager.js,2014-02-24
404,gif.js,2014-02-16
405,co,2014-02-13
406,prototype,2014-02-12
407,messenger,2014-01-13
408,yui,2014-01-05
409,odometer.js,2013-12-23
410,background-check,2013-11-15
411,sammy.js,2013-10-31
412,lazy.js,2013-10-16
413,spinejs,2013-10-10
414,respond.js,2013-10-08
415,markdown.js,2013-09-15
416,epiceditor,2013-08-14
417,camanjs,2013-07-27
418,processing.js,2013-06-08
419,alertify.js,2013-06-02
420,sketch.js,2013-05-28
421,amplifyjs,2013-03-10
422,webfont,2013-02-26
423,jquery-mobile,2013-02-04
424,morris.js,2012-10-04
425,headjs,2012-06-13
426,stroll.js,2012-04-21
427,q.js,2011-10-11
428,jquery-tools,2011-04-24
429,yepnope,2010-12-11
430,jit,2010-07-28
